linie,total_trips,avg_departure_delay_sec,pct_delayed_departures
91,4233,64.74,89.46
163,3140,46.85,86.24
309,11007,42.52,78.37
66,12813,39.74,72.32
162,819,38.63,83.52
79,2693,36.64,83.07
703,3088,33.34,73.93
77,9624,32.14,74.26
701,9688,30.58,66.92
64,4772,30.11,67.14
31,64488,29.34,58.49
61,18147,28.81,64.8
307,4614,28.67,76.16
916,12386,28.2,75.22
704,10751,27.79,69.97
89,31522,26.97,62.46
910,7776,26.92,72.61
751,5757,26.29,71.24
919,5766,25.96,77.26
918,1104,25.5,79.53
32,49212,23.47,59.43
304,18203,22.96,65.06
184,6107,22.57,64.02
305,4057,22.51,69.02
743,8357,22.15,64.46
912,9534,21.94,67.26
62,19512,21.65,60.56
70,18809,21.5,64.92
46,36422,21.39,59.53
38,4155,20.33,62.86
301,11766,19.93,66.86
325,3825,19.19,67.63
75,37153,18.87,58.44
78,10610,18.87,61.08
40,12897,17.78,61.25
306,4317,17.51,70.65
745,3405,17.43,60.12
67,22379,16.7,55.96
33,60673,16.11,52.34
37,2126,16.07,67.12
314,7198,16.0,63.27
705,2987,15.99,61.63
69,14255,15.94,60.4
11,62435,15.72,50.73
165,13238,13.59,53.72
72,41462,13.36,53.53
80,53958,12.57,51.91
302,27441,11.31,57.79
94,8772,11.13,53.36
83,8449,11.02,51.02
14,47962,10.38,49.96
35,8754,10.21,54.83
76,4962,8.71,53.91
7,56540,6.34,43.88
2,56935,5.0,43.94
161,9720,4.82,51.15
744,2426,4.79,47.53
8,44113,4.79,43.53
3,36101,3.16,44.54
9,58102,3.08,41.93
12,19199,2.92,46.85
13,64652,2.9,42.76
10,46391,2.88,42.75
185,7956,0.67,45.74
4,46590,-0.05,43.43
6,25355,-1.9,35.89
5,22899,-3.07,36.71
412,1976,-3.08,40.18
17,34433,-3.09,38.38
