departure_hour,total_trips,avg_departure_delay_sec,pct_delayed_departures
0,37796,16.07,47.65
1,7537,117.46,69.09
2,2532,73.58,75.36
4,2719,11.98,50.31
5,37900,2.84,46.61
6,67411,6.75,50.08
7,74985,-2.74,40.38
8,76030,-2.86,40.88
9,72320,5.33,48.57
10,75835,10.41,51.7
11,76416,11.98,53.85
12,76616,12.38,53.05
13,76399,18.11,57.55
14,76251,23.03,60.34
15,77569,23.99,61.18
16,83355,15.85,54.08
17,84555,12.61,53.13
18,82859,11.17,50.62
19,76953,15.11,53.44
20,70678,18.89,59.48
21,60195,21.54,59.64
22,57683,19.1,57.34
23,48374,20.25,56.08
