stop_code,total_departures,avg_departure_delay_sec,pct_delayed_departures
KALL,302,41.6,99.01
OBDO,426,97.0,98.12
OGAS,426,94.24,98.12
BKUE,406,33.34,96.8
BKIL,233,43.42,96.57
SZOL,353,81.99,95.18
HASE,352,76.93,94.32
DOZE,147,24.62,93.88
SEGE,353,72.73,93.77
STOD,353,66.2,92.63
BWEI,576,33.02,92.19
TRIC,352,66.54,91.19
SWAK,421,80.07,90.74
STHA,394,21.04,90.61
BDIE,2791,30.67,90.47
KIND,216,28.72,89.35
GOBI,184,50.01,89.13
ITFA,675,32.28,89.04
BUZE,353,54.84,88.95
SCHE,120,38.03,88.33
ZENT,1845,27.9,88.18
SHDO,464,51.05,88.15
WACH,353,73.08,88.1
ELWA,497,29.01,87.32
ORIO,488,40.52,87.3
RPAR,299,39.24,86.96
BALO,499,69.31,86.57
KLAE,438,72.13,86.53
SOKI,370,49.88,86.49
KALB,1765,51.51,85.5
BirBah,279,15.76,85.3
SHOE,188,29.21,84.57
LAEN,911,43.81,83.97
SEES,274,31.1,83.94
NEUB,1769,46.09,83.89
ZOBE,469,19.18,83.8
BEBO,649,35.58,83.51
TRSA,353,71.34,82.72
BUHO,178,21.94,82.58
MSEE,549,38.56,82.51
VULK,484,30.17,82.44
DWEI,275,25.14,81.82
BADL01,573,22.53,81.68
OHAL,854,55.54,81.38
WABG,561,36.71,81.28
BSCH,613,32.04,81.08
DSIL,1010,44.09,80.79
OBHE,739,31.34,80.38
TFUS,353,70.0,79.89
HABA,138,28.97,78.99
RKIK,138,31.83,78.99
WGLA,400,23.56,78.5
WIDM,1767,45.36,78.27
TAEG,991,28.38,78.0
BAWO,1394,25.06,77.83
SIHE,1592,30.69,77.26
WALT,342,24.07,77.19
PEST,1161,39.27,77.09
BOEN,1442,29.73,77.05
BEST,601,30.95,76.87
GOES,341,23.47,76.83
GART,138,18.4,76.81
ITDO,990,26.05,76.57
DUFP,1611,27.52,76.35
HESL,601,27.95,75.87
HIST,601,29.36,75.71
HAGA,1162,39.21,75.56
BEUG,1063,25.62,75.54
ALTE,1007,32.74,75.47
DMOO,1162,41.01,75.47
OZEN,428,29.56,75.47
WONE,1007,30.79,75.47
GOHA,1062,24.16,75.24
FLUE,1007,32.66,75.17
SIHW,1652,27.66,75.12
OBWA,1128,27.04,75.09
EPIK,1007,33.74,74.88
SUEB,991,26.22,74.67
VCHL07,150,46.33,74.67
OBFE,138,21.86,74.64
ZENW,4056,43.47,74.48
RWIE,561,31.04,74.15
AUZO,248,23.16,73.79
BZOL,274,24.55,73.72
IHUS,1652,27.96,73.61
ZALL,561,28.98,73.44
REBW,990,25.15,73.43
JUCH,517,30.99,73.31
LERZ,1161,36.76,73.13
MDOR,1052,38.11,73.1
FEIC,114,22.69,72.81
MARB,1652,27.39,72.76
BGER,1268,29.54,72.71
HSTR,557,28.72,72.71
STEA,774,18.59,72.61
SLIM,185,15.43,72.43
SCHN,516,29.27,72.29
DRAP,1134,31.88,72.13
DUNK,2243,21.76,72.09
IGAS,517,28.43,71.95
RIST,549,22.13,71.95
URSP,603,29.17,71.81
FHOE,370,24.41,71.62
MKIR,1050,34.74,71.62
CHIN,583,26.05,71.53
ZENK,800,18.51,71.13
FELH,635,30.02,70.71
GDEH,553,26.28,70.71
KHIR,993,31.69,70.59
SENN,295,22.2,70.51
KILB,751,17.27,70.44
LOOR,3698,37.18,70.44
SIHG,991,24.04,70.43
MASC,436,29.1,70.41
ZNIE,1006,32.96,70.38
DHEI,1669,25.39,70.34
OBER,879,44.08,70.19
WAIH,496,13.76,70.16
FRDR,1844,31.0,69.9
MLOR,593,43.38,69.81
MUEH,480,16.47,69.58
DSON07,1289,25.83,69.43
GDOR,603,27.21,69.32
KSCH,1069,24.18,69.13
SAGG,635,28.6,69.13
FROB,1845,29.33,69.11
SUET,561,25.86,68.81
RUST,516,23.81,68.8
ASPH,954,33.02,68.76
BAFF,2134,32.9,68.74
MICH,377,24.76,68.7
BLEI,1651,24.08,68.69
EIHH,426,18.79,68.54
MARW,426,23.4,68.54
PFAF,635,28.7,68.35
MAIL,867,26.41,68.28
BUEH,1062,21.46,68.27
SOME,553,24.63,68.17
FWIT,1822,29.31,68.11
KAMM07,597,25.8,68.01
MPLA,619,35.42,68.01
BIBE,603,21.69,67.99
TOBE,603,25.34,67.99
KBRE,1061,31.68,67.86
GLOK,1823,29.78,67.75
IWAL,1007,30.09,67.73
MITL,826,13.47,67.68
USNO,1432,13.0,67.6
BLUM,954,32.07,67.4
SIHC,690,16.12,67.39
GRUT,576,38.3,67.36
BERH,1885,36.37,67.27
HEIN,550,19.3,67.27
BOGL,1061,23.03,67.11
HOFF07,1583,21.27,67.09
PMUE,1821,27.66,67.05
DBAL,426,23.77,66.9
DSTA,1745,19.26,66.82
TRIS,780,13.84,66.79
SRIE,867,26.04,66.78
BOLD,426,21.01,66.67
WEST,545,17.57,66.61
BLAN,1011,23.69,66.57
OBEW,1915,28.83,66.53
FJUG,436,26.44,66.51
OKEN,1093,33.57,66.42
FRIA,1844,23.64,66.32
RIEW,426,21.49,66.2
VORB,426,19.89,66.2
STOG,878,34.9,66.17
FNEU,490,32.69,66.12
DREW,603,22.06,66.0
LISP,970,27.31,65.98
KNOR,841,23.35,65.87
BALN,1985,15.2,65.79
MAIE,841,24.4,65.76
FAAU,1681,20.62,65.73
DGYR,545,19.52,65.69
BEND,970,34.68,65.67
DORF,1845,25.52,65.31
EBDO,1035,24.7,65.22
ZOOF,603,21.82,65.17
UAFF,966,27.33,65.11
SHOF,1395,35.56,65.02
FRAN,3310,19.69,64.98
BOGA,2845,24.97,64.85
KIEN,939,20.49,64.75
ZWEI,1875,35.94,64.69
AHOS,841,22.19,64.68
KANO,1927,43.49,64.45
DLAE,545,14.73,64.4
URDN,553,18.48,64.38
BERL,426,19.95,64.32
NORS,2980,26.32,64.3
FAEI,1041,21.52,64.07
FWIG,775,24.78,64.0
AEGU,572,15.73,63.99
FMAT,703,29.55,63.87
FRYM,1652,20.46,63.8
BGAS,996,28.02,63.65
AMSU,885,17.94,63.62
MANG,1617,22.51,63.57
HATS,1327,14.84,63.45
HEGA,3313,29.32,63.42
LOOG,885,17.89,63.28
SHOL,966,22.75,63.25
FRIE,3317,29.34,63.22
SPIT,1696,16.23,63.15
MORG,7675,28.84,63.05
EINF,3891,25.89,62.89
IWIN,1673,17.99,62.88
BINC,385,12.47,62.86
NURD,553,14.59,62.75
LAEG,1880,26.0,62.71
ODIE,1327,16.11,62.7
UITI,1134,15.59,62.7
SCHB,1834,15.9,62.6
NEUA,3890,24.91,62.57
FRON,966,26.74,62.53
FRIB,1923,30.54,62.4
DOER,553,15.53,62.39
LETB,2183,27.97,62.35
ALTW,1879,24.71,62.27
RIEH,812,19.06,62.19
ZEHN,4314,26.97,62.08
BOER,4287,24.32,62.05
NEUT,553,16.32,62.03
VHOF07,150,-22.63,62.0
SACK,3390,23.89,61.98
DORS,1035,19.15,61.74
IHAG,3313,27.4,61.64
TIAK01,576,28.47,61.63
KREK,973,16.43,61.56
PSCH,424,12.51,61.56
FAEL,1805,20.2,61.55
LETT,2197,24.06,61.49
LIMB,1680,16.1,61.43
VERE,1617,19.99,61.35
NORH,841,19.5,61.24
SHUA,1126,19.56,61.19
OBEE,1578,19.77,61.15
HUNG,1971,28.8,61.09
ARAN,1950,24.65,61.03
USEN,1450,13.16,61.03
ETHH,3812,19.69,61.02
LANZ,1580,20.13,61.01
KROA01,574,24.21,60.98
HACK,553,14.24,60.94
ZOO,957,10.52,60.92
EGGB,1581,20.94,60.91
SALZ,2897,20.48,60.82
HERZ,2448,23.47,60.74
WASE,1890,32.2,60.74
RUET,977,14.21,60.59
SCHA,3661,24.91,60.53
BAEN,2963,16.25,60.48
AUFB,701,12.79,60.34
REGB,3762,21.78,60.31
FBST,1335,15.95,60.3
WAIB,2046,17.71,60.22
IMGU,2908,25.84,60.18
BTIE,4103,17.38,60.08
STAF,388,15.03,60.05
GLAU,5710,21.96,60.02
PKAE,2045,17.17,60.0
ZOLL,120,16.88,60.0
LEEA,1037,21.7,59.98
AUBR,3245,21.72,59.97
BALG,2351,30.23,59.93
GEER,2764,21.36,59.84
FEUS,885,14.57,59.77
TWÄR,380,24.01,59.74
DRUS,1889,30.77,59.61
KLUS,6444,23.42,59.4
GRIN,1678,14.51,59.3
RAUH,2899,19.69,59.23
BRUS,1680,14.39,59.17
BUEB,1332,15.6,59.16
ROSE,6693,21.88,59.08
IDEY,3801,21.77,59.04
PAEN,1579,17.93,58.96
HERT,984,15.04,58.94
SOER,10167,20.3,58.91
MOOS,598,16.25,58.86
SYFI,1890,29.43,58.84
GRIM,1913,17.78,58.76
HOEF,1925,24.92,58.75
BSTE,3837,17.31,58.74
LERA,424,11.32,58.73
SEPL,3797,16.12,58.68
KABU,377,16.94,58.62
KAPF,1888,30.69,58.58
MEHA,4599,21.96,58.58
DOGE,2828,12.36,58.49
BIRD,1975,21.53,58.48
MATT,1907,20.64,58.47
FLUR,1952,21.65,58.4
GOBA,1062,14.25,58.38
IMBR,120,20.86,58.33
BACH,1912,16.76,58.32
SCHW,6163,14.46,58.32
ALZE,694,29.41,58.21
MILA,3842,25.02,58.2
TRIE,3807,15.19,58.18
MAXB,4667,18.89,58.11
BBAU,198,8.95,58.08
ROTB,3718,22.7,57.91
BUCL,2900,17.89,57.9
HEGI,6113,25.72,57.84
NMAT,1141,10.76,57.84
HOEB,3607,16.29,57.83
DREI,2722,19.58,57.79
ENZE,1848,32.44,57.79
HEIZ,2362,17.68,57.75
BUTZ,4759,16.38,57.74
WINS,4329,17.59,57.73
DWAS07,987,14.38,57.55
