linie,total_segments,avg_scheduled_travel_sec,avg_actual_travel_sec,avg_travel_time_diff_sec
307,4614,64.37,76.18,11.82
309,11007,69.02,80.35,11.33
91,4233,43.55,54.76,11.21
66,12813,62.41,71.37,8.96
77,9624,68.48,75.67,7.19
79,2693,68.05,74.83,6.79
743,8357,59.87,65.57,5.71
301,11766,57.46,62.93,5.48
37,2126,72.77,78.21,5.44
94,8772,56.82,62.06,5.24
162,819,59.87,65.03,5.16
64,4772,46.11,51.02,4.91
703,3088,98.95,103.82,4.86
701,9688,97.75,102.57,4.82
163,3140,66.61,71.33,4.72
704,10751,80.75,85.2,4.45
304,18203,59.26,63.57,4.31
76,4962,63.81,67.86,4.05
17,34433,67.47,71.41,3.95
314,7198,73.16,76.82,3.66
751,5757,73.03,76.51,3.48
67,22379,57.75,61.08,3.34
46,36422,65.01,68.13,3.11
13,64652,66.78,69.88,3.1
3,36101,70.65,73.73,3.08
918,1104,72.07,75.03,2.96
31,64488,62.44,65.18,2.74
11,62435,66.32,69.01,2.69
40,12897,61.04,63.57,2.52
61,18147,61.96,64.47,2.51
8,44113,68.42,70.92,2.5
14,47962,69.12,71.57,2.46
302,27441,54.58,56.89,2.31
9,58102,63.51,65.69,2.19
70,18809,58.4,60.51,2.11
5,22899,77.27,79.33,2.07
10,46391,68.85,70.85,2.0
89,31522,68.78,70.78,2.0
7,56540,64.09,66.0,1.92
62,19512,64.0,65.89,1.89
32,49212,66.57,68.4,1.83
33,60673,58.13,59.94,1.81
184,6107,69.47,71.23,1.76
75,37153,63.28,64.84,1.56
80,53958,62.65,64.2,1.55
83,8449,78.38,79.89,1.51
6,25355,82.16,83.63,1.47
916,12386,57.23,58.71,1.47
161,9720,57.39,58.84,1.44
38,4155,51.99,53.29,1.29
69,14255,69.41,70.69,1.28
305,4057,65.86,67.09,1.24
72,41462,68.8,70.02,1.21
910,7776,69.8,70.9,1.1
78,10610,74.27,75.34,1.07
2,56935,61.2,62.19,0.99
4,46590,62.4,63.37,0.97
12,19199,76.1,77.04,0.94
165,13238,54.82,55.76,0.94
325,3825,51.83,52.3,0.47
912,9534,62.25,62.56,0.31
705,2987,88.87,89.13,0.26
35,8754,64.07,63.93,-0.13
744,2426,78.07,77.84,-0.23
306,4317,68.67,67.94,-0.73
185,7956,67.98,66.92,-1.06
412,1976,95.13,94.0,-1.13
919,5766,62.92,60.63,-2.29
745,3405,74.87,69.01,-5.86
